"identifiant","adresse","raison_sociale","nom","code_postal","code_insee","nom_commune","longitude","latitude"
"IDF9100340","Babin, 111 rue du docteur","EUROVIA, ex VIA FRANCE (Laboratoire central)","Travaux publics","91220","91103","Brétigny-sur-Orge","2.28699807275991","48.596841966828"
"IDF9100341","Bois Badeau, 28 rue du","BENOUIS","Imprimerie","91220","91103","Brétigny-sur-Orge","2.27957426279886","48.6037537447166"
"IDF9100343","Bois Badeau, 68 rue du","BOCHE Roland","Ferrailleur","91220","91103","Brétigny-sur-Orge","2.27912683148068","48.6037355316273"
"IDF9100344","Bretagne, 2 rue de","ELIS, ex TREFICABE FIRELLI (en 1984), ex TREFIMETAUX + GRENELLE SERVICE","Blanchisserie, teinturerie","91220","91103","Brétigny-sur-Orge","2.30001481417453","48.5944999109499"
"IDF9100347","Camus, rue A. (ex lieu-dit la Marinière et les 60 Arpents - CD 19)","GARAGE CITROEN, ex ELF","Station service, garage","91220","91103","Brétigny-sur-Orge","2.31432417086413","48.608622062677"
"IDF9100348","Carouge, rue","HLM LA SABLIERE","HLM","91220","91103","Brétigny-sur-Orge","2.30086843066686","48.6137623210899"
"IDF9100349","Casanova, 15 rue Danièle (ex rue Corbeil)","ELF SERVICE CHEVIER","Blanchisserie, teinturerie","91220","91103","Brétigny-sur-Orge","2.30950978064541","48.6093763686796"
"IDF9100352","Clause, 4 rue Lucien","CLAUSE administration + CLAUSE SEMENCES PROFESSIONNELLES + SADEM, ex GRAINE D'ELITE CLAUSE, ex CLAUSE, ex CLAUSE (en 1924)","Grainetier","91220","91103","Brétigny-sur-Orge","2.29729347767094","48.6070256650881"
"IDF9100354","Cochets, rue des","UNIBETON","Fabrique de béton","91220","91103","Brétigny-sur-Orge","2.29229811957625","48.5827078493303"
"IDF9100355","Cochets, rue des (D133)","PROSIGN, ex LA LIGNE BLANCHE, ex ROUTIERE COLAS","Fabrique de peintures et solvants","91220","91103","Brétigny-sur-Orge","2.2939497027319","48.5849476418738"
"IDF9100356","Cochets prolongée, rue des (ex route des Cochets)","BRETIGNY ENROBES","Centrale d'enrobage","91220","91103","Brétigny-sur-Orge","2.29260705639267","48.585837387504"
"IDF9100357","Bretigny, 3 rue de (ex rue Collenot)","THERMICAL","Compagnie de chauffage","91220","91103","Brétigny-sur-Orge","2.31215493568696","48.6077403304823"
"IDF9100360","Paris, 28 rue de la commune de (ex rue de Vert-Le-Grand)","INTERFUEL (en 1975), ex IFRACO (en 1968)",NULL,"91220","91103","Brétigny-sur-Orge","2.30276668407279","48.5946896232091"
"IDF9100361","Paris, 33 rue de la commune de","BOUGET Lucien","Garage","91220","91103","Brétigny-sur-Orge","2.30241580032153","48.5924054000231"
"IDF9100362","Paris, 35 rue de la commune de","SOFRAL (Sté Française de Levage)","Stockage de grues","91220","91103","Brétigny-sur-Orge","2.30268806507949","48.5907508480719"
"IDF9100363","Paris, 44-46 rue de la commune de (ex CD 133)","HOLLIDAY ENCRES, ex BLANCOMME TECHNI COULEURS, ex BLANCOMME BRENT, ex BLANCOMME  (en 1971)","Fabrique de peintures et solvants","91220","91103","Brétigny-sur-Orge","2.30115594110131","48.5912179861746"
"IDF9100364","Paris, 48 ? rue de la commune de (ex route de Marolles - D133)","QUILLERY, Sté NATIONALE DE CONSTRUCTION",NULL,"91220","91103","Brétigny-sur-Orge","2.29923191159957","48.5900483234433"
"IDF9100366","Délestraint, rue du Général et chemin des cochets","STANEXEL","Décharge d'ordures ménagères","91220","91103","Brétigny-sur-Orge","2.29024394361635","48.5908003386362"
"IDF9100367","Délestraint, 1 rue du Général","COMMISSARIAT DE L'ARMEE DE TERRE, ETS DE L'HABILLEMENT","Usine d'incinération","91220","91103","Brétigny-sur-Orge","2.28843959473538","48.5922833542083"
"IDF9100368","Douard, 4 rue Henri","LYCEE TECHNIQUE D'ETAT ET CET J.P TIMBAUD","Lycée","91220","91103","Brétigny-sur-Orge","2.31456770105832","48.6098540972139"
"IDF9100369","Flandre, 22 rue de (lot N°43)","FORTIN ET FILS","Imprimerie","91220","91103","Brétigny-sur-Orge","2.3000138971046","48.5957318948031"
"IDF9100088","Coquelicots, 24-26 rue des","SUZANNE CAOUTCHOUC RENOV-DAIM",NULL,"91200","91027","Athis-Mons","2.36787585781316","48.6992119979048"
"IDF9100331","Allende, 22 rue Salvador (ex 20 rue Saint-Michel)","NEUILLY","Garage","91220","91103","Brétigny-sur-Orge","2.30930127548843","48.6184948147111"
"IDF9100333","Allende, 26 rue Salvador (ex rue Saint-Michel)",NULL,"Garage","91220","91103","Brétigny-sur-Orge","2.31193148662751","48.620554736996"
"IDF9100335","Allende, 60 rue Salvador (ex 62 rue Saint-Michel, en 1976)","CUISINIER JOSEPH ET FILS",NULL,"91220","91103","Brétigny-sur-Orge","2.31180947259451","48.620437805904"
"IDF9100337","Artois, 2 rue de l'","PAPALCUER Anna","Blanchisserie, teinturerie","91220","91103","Brétigny-sur-Orge","2.30460783150294","48.5986199268651"
"IDF9100238","Près, rue des","GEOFFROY",NULL,"91570","91064","Bièvres","2.21383778572671","48.7526827268543"
"IDF9100212","Vallée, rue de la","MAISON DE RETRAITE DE LA PRESSE MUTUELLE","Maison de Retraite","91610","91045","Ballancourt-sur-Essonne","2.38560883986459","48.5217189822971"
"IDF9100213","Vallée, 25 rue de la","BCI (BALLANCOURT CIRCUITS IMPRIMES), ex ADB (LES ATELIERS DE BALLANCOURT)","Fabrique de circuits imprimés","91610","91045","Ballancourt-sur-Essonne","2.38818062900982","48.5214930431094"
"IDF9100221","Briis, 1 rue de","GEOFFROY",NULL,"91570","91064","Bièvres","2.21351159450598","48.7526014388823"
"IDF9100223","Paris, rue de","ESSO-STANDARD","Station service","91570","91064","Bièvres","2.22951735545228","48.7719699874707"
"IDF9100224","Eglise, 1 rue de l'","MAURIER",NULL,"91570","91064","Bièvres","2.21580397503628","48.7550499193231"
"IDF9100225","Paris, 121 rue de","INSTITUT CHOAY et LABORATOIRES ROBILLART, ex BIOSUL et ROBILLART",NULL,"91570","91064","Bièvres","2.22817920764831","48.7679759537716"
"IDF9100229","Paris, 41 et 57 bis rue de","LAFON, ex LAFON Albert",NULL,"91570","91064","Bièvres","2.21807947738747","48.7475883802138"
"IDF9100236","Paris, 84 rue de","CHAUVIN Raymond","Ferrailleur","91570","91064","Bièvres","2.22900034310052","48.7657195674482"
"IDF9100240","Près, 1-7 rue des","RENAULT, ex MAGOT PARQUETNET",NULL,"91570","91064","Bièvres","2.21394647187062","48.752727807992"
"IDF9100241","Près de Vauboyen, 11 rue des","TECMA","Fonderie","91570","91064","Bièvres","2.2125045675086","48.7528611295061"
"IDF9100031","Babin, 10 rue du docteur","Commissariat de Police d' ARPAJON","Commissariat","91290","91021","Arpajon","2.24422746736999","48.588128165583"
"IDF9100033","Corlus, rue des (CR n°2)","NORD FRANCE (Sté d'entreprises générales et de constructions)","Centrale à béton","91290","91021","Arpajon","2.24268145975337","48.6028567538089"
"IDF9100034","Corlus, 4 rue des","CARROSSERIE DE LA ROCHE, ex GUERRHIT Gérard","Carrosserie","91290","91021","Arpajon","2.24092126240134","48.6015783266313"
"IDF9100035","Clos Bailly, rue du","FOUQUET M.","Mégisserie","91290","91021","Arpajon","2.25497592387219","48.5884961606849"
"IDF9100189","Petit Ballainvilliers, rue du","CASE, ex TRADEC",NULL,"91160","91044","Ballainvilliers","2.28499196294233","48.6743304588309"
"IDF9100195","Briffe, 2 rue Marie-Sophie de la","ESSONNE HABITAT","HLM","91610","91045","Ballancourt-sur-Essonne","2.38347415047347","48.5262071385815"
"IDF9100381","Saussaie, rue de la (ex rue Jean Rongière)","SAAE (Sté d'APPAREILLAGE AUXILIAIRE POUR L'ELECTRICITE)","Installation électrique","91220","91103","Brétigny-sur-Orge","2.29791202704103","48.5964146234701"
"IDF9100382","Petit Paris, 1 rue du","STANEXEL, ex STAN (Sté DE TRANSPORTS D'ASSAINISSEMENT ET DE NETTOIEMENT)","Décharge d'ordures ménagères","91220","91103","Brétigny-sur-Orge","2.27759704800842","48.6130870412521"
"IDF9100383","Roussillon, rue du","ATELIER DE BAGNEUX","Fabrique de matières plastiques","91220","91103","Brétigny-sur-Orge","2.3046655185097","48.593314317934"
"IDF9100385","Petit Paris, rue du","DELPHARM, ex SYNTEX LAROCHE NAVARRON, ex laboratoires LAROCHE NAVARRON","Industrie pharmaceutique","91220","91103","Brétigny-sur-Orge","2.27892404774618","48.6148412873046"
"IDF9100386","Revol, rue Félicien et 60 rue Pierre Brossoletette","EDF-GDF (en 1995), ex GAZ DE FRANCE (en 1979)","Production d'électricité","91220","91103","Brétigny-sur-Orge","2.29854451000702","48.6024938306873"
"IDF9100387","Roussillon, 11 rue du","3M AUTO, ex BPA (BRETIGNY PIECES AUTOS)","Casse automobile","91220","91103","Brétigny-sur-Orge","2.30520779471591","48.59327850172"
"IDF9100389","Roussillon, 13 rue du","PLASTIFORM RECYCLAGE, ex LABORATOIRE RECREATION, ex SEPT IMPRIM, ex IMPRIMERIE DKS (DIXTRY KRADOCFER STEPHANICH)","Ferrailleur","91220","91103","Brétigny-sur-Orge","2.30583143623958","48.5931977425148"
"IDF9100390","Rousillon, 14 rue du (lot N° 46)","CORD Internationale","Fabrique de matières plastiques","91220","91103","Brétigny-sur-Orge","2.30527615676251","48.5923702701069"
"IDF9100391","Saussaie, rue de la (ex rue Jean Rongière prolongée)","SNCT (Sté NOUVELLE DE CONSTRUCTION DE TRAVAUX)","Fabrique de béton","91220","91103","Brétigny-sur-Orge","2.29891858607511","48.5920715490648"
"IDF9100392","Saussaie, rue de la (ex rue Jean Rongière prolongée)","COMTE + ILE DE FRANCE YATCHING","Entretien de véhicules","91220","91103","Brétigny-sur-Orge","2.29561218176069","48.5905596322624"
"IDF9100393","Saussaie, rue de la (ex rue Jean Rongière prolongée)","ATELIERS GARAGE DE BRETIGNY-SUR-ORGE, ex SIMOTRA (Sté INDUSTRIELLE D'EXPLOITATION DES MOYENS DE TRANSPORTS)","Installations ferroviaires","91220","91103","Brétigny-sur-Orge","2.29630082949726","48.593842175128"
"IDF9100374","Languedoc, 2-4-6 rue du","BONNAMY ET FILS + FRANCE PRECIMECA","Fabrique de machines-outils","91220","91103","Brétigny-sur-Orge","2.30233527970834","48.5912363396601"
"IDF9100375","Languedoc, 8 rue du","MPI (Moulages Plastiques Industriels), ex KOSMO PLATICS","Fabrique de matières plastiques","91220","91103","Brétigny-sur-Orge","2.30320305065168","48.5909398476725"
"IDF9100376","Leblanc, 63 rue Alfred","GUILLET","Fonderie","91220","91103","Brétigny-sur-Orge","2.30033514358315","48.6013163967287"
"IDF9100166","Clos à la Caille, 8 rue du","CLINIQUE LES MAGNOLIAS, centre de Gériatrie","Clinique","91160","91044","Ballainvilliers","2.28426037661894","48.6599868557335"
"IDF9100175","Leclerc, 41 rue du Général","LEBRUNET",NULL,"91160","91044","Ballainvilliers","2.2974959795715","48.6763858353556"
"IDF9100394","Saussaie, rue de la (ex rue Jean Rongière prolongée)","POTAIN, ex SOLOGAT (Sté DE LOCATION DE GRUES A TOUR), ex SOMORA","Fabrique de grues","91220","91103","Brétigny-sur-Orge","2.29715676126551","48.5915044086355"
"IDF9100481","Traversière, 4 rue","LAVABRE Roger, ex ROSSAT","Station service","91800","91114","Brunoy","2.5064888591756","48.7003762247511"
"IDF9100485","Arpajon, rue d', ""domaine de Morionville"" (ex rue des vignes)","VITAKRAFT SIMON Louis, ex SIMON Louis","Exploitation agricole","91680","91115","Bruyères-le-Châtel","2.1959253635288","48.5949936536178"
"IDF9100490","Eglise, rue de l' (D 82, ex GC 82 en 1935)","MALLET (concessionnaire de la distribution de gaz sur le territoire du syndiact Intercommunal de la Vallée de l'Orge)","Usine d'embouteillage de gaz","91680","91115","Bruyères-le-Châtel","2.18519347121293","48.5933161663428"
"IDF9100135","Prévoyance, 2 rue de la","ANDRE DEBUS ET CIE",NULL,"91200","91027","Athis-Mons","2.3939099357245","48.7036084153065"
"IDF9100397","Valorge, rue de","HUG Henri","Fabrique de vernis","91220","91103","Brétigny-sur-Orge","2.29108683889809","48.617526671735"
"IDF9100399","Rozanoff, 33 rue du Colonel","BOUGET-LAPORTE","Garage","91220","91103","Brétigny-sur-Orge","2.30448629454907","48.5978824997301"
"IDF9100402","Buttes-Réault, 19 rue des","LANTUECH, ex FAGNON, ex SALAT",NULL,"91650","91105","Breuillet","2.19360063068316","48.5783904120904"
"IDF9100414","Babin, 4 rue du docteur Louis  (en 1986)","MERITTE Daniel, ex DECOURTY Raymond","Station service","91650","91106","Breux-Jouy","2.15613064498884","48.5590837140097"
"IDF9100422","Lemoal, 165 rue du Lieutenant (CV N°3)","QUINTIN Robert","Atelier de traitement des métaux et du bois","91640","91111","Briis-sous-Forges","2.12755461366012","48.6249593920899"
"IDF9100427","Poirier, 11 rue du","SERPA (Sté d'Etudes et de Réalisations des Plastiques Appliqués)","Garage","91800","91114","Brunoy","2.50399004818267","48.7006496936025"
"IDF9100478","Talma, 7 ter rue de","PRESSING DES OMBRAGES","Pressing","91800","91114","Brunoy","2.50045683005955","48.6920488198183"
"IDF9100479","Tronchard, 21 rue","TRIPIER Marcel","Fabrique d'éléments métalliques","91800","91114","Brunoy","2.50484137048051","48.6912061276666"
"IDF9100480","Vallée, 30 ou 31 rue des","CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE L'ILE DE FRANCE","Banque","91800","91114","Brunoy","2.51625627180409","48.7002263911415"
"IDF9100136","Progrès, rue du","DUARD, ex ROBILLARD",NULL,"91200","91027","Athis-Mons","2.36439866202535","48.7003009933429"
"IDF9100125","Liberté, 8 rue de la",NULL,NULL,"91200","91027","Athis-Mons","2.37842545933578","48.7083542083632"
"IDF9100130","Nollet, 14 rue","SAURON",NULL,"91200","91027","Athis-Mons","2.39477858656478","48.7146239995989"
"IDF9100133","Orme Robinet, 18 rue de l'","MISSENARD QUINT TERMIQ",NULL,"91200","91027","Athis-Mons","2.36476777760675","48.7044824931768"
"IDF9100134","Parc, 13 rue du","CHALVENT",NULL,"91200","91027","Athis-Mons","2.39259586817069","48.7070352682847"
"IDF9100137","Schuman, 37 bis rue Robert","LYCEE TECHNIQUE L.E.P. (Lycée d'Enseignement Professionnel)","Lycée","91200","91027","Athis-Mons","2.39186710392936","48.7115499404557"
"IDF9100138","Schuman, 59 rue Robert","CARROSSERIES 91, ex BERTRAND R.","Carrosserie","91200","91027","Athis-Mons","2.39888226831032","48.7143880417507"
"IDF9100139","Schuman, 123 rue Robert","VERDIER-AUTOMOBILES, ex VERDIER","Station service, garage","91200","91027","Athis-Mons","2.4033153414514","48.7166337232663"
"IDF9100142","Vaillant, 4-6 rue Edouard","LU-BRUN ET ASSOCIES, ex POMONA",NULL,"91200","91027","Athis-Mons","2.39449618142353","48.7053796772254"
"IDF9100143","Vaillant, 12 rue Edouard","LUTZ ET KREMPP INDUSTRIES (LKI)",NULL,"91200","91027","Athis-Mons","2.39521685642483","48.7058739090807"
"IDF9100144","Vaillant, 34-60 rue Edouard","SUPREX",NULL,"91200","91027","Athis-Mons","2.39752817761201","48.7071496670447"
"IDF9100145","Vaillant, 95-97 rue Edouard","KISTER ET CETAH, ex KISTER",NULL,"91200","91027","Athis-Mons","2.40015546888059","48.7110690491308"
"IDF9100146","Valles, 15-19 rue Jules","TEILHOL Lucien, ex COUTAREL",NULL,"91200","91027","Athis-Mons","2.37386691176561","48.6992372047729"
"IDF9100147","Valles, 31 rue Jules","PEIRS Christian, ex VINCENT Roger et HORDELALAY Vincent","Garage","91200","91027","Athis-Mons","2.37729229773286","48.7016460841643"
"IDF9100148","Valles, 38 rue Jules","SCM IMAGERIE ESSONNE EST","Clinique","91200","91027","Athis-Mons","2.37680195380069","48.7000635469754"
"IDF9100149","Valles, 120 rue Jules","BOURGEOIS",NULL,"91200","91027","Athis-Mons","2.37998385387942","48.7034796084324"
"IDF9100150","Valles, 127 rue Jules","KISTER ET CETAH, ex KISTER",NULL,"91200","91027","Athis-Mons","2.38089578796394","48.705367722009"
"IDF9100153","Fitte, 28 rue de (D 948)","COOPERATIVE LA FRANCILIENNE, ex COOPERATIVE AGRICOLE DE CORBEIL, ex DISTILLERIE-COOPERATIVE AGRICOLE DE LA REGION D'AUVERNAUX","Coopérative agricole","91830","91037","Auvernaux","2.49169593807599","48.525454931381"
"IDF9100572","Ampère, rue","TRANAUTO - STUR","Garage","91380","91161","Chilly-Mazarin","2.30033520269055","48.7114581603363"
"IDF9100573","Ampère, rue","OLYMPIC GARAGE","Garage","91380","91161","Chilly-Mazarin","2.29931527616788","48.7125009750241"
"IDF9100580","Bossuet, rue","IDEX",NULL,"91380","91161","Chilly-Mazarin","2.30331554854213","48.7048764544589"
"IDF9100581","Bourdelle, 8 rue","MONTENAY",NULL,"91380","91161","Chilly-Mazarin","2.30874325304583","48.6932684154871"
"IDF9100632","Tulipiers, rue des","SCI DE LA LIBERATION",NULL,"91380","91161","Chilly-Mazarin","2.31823524031444","48.7008242290318"
"IDF9100589","Chemin blanc, rue du","SELLIER LEBLANC","Garage","91380","91161","Chilly-Mazarin","2.295176134586","48.7060697639522"
"IDF9100591","Dahlias, 5 rue des","SERC de l'Union Industrielle de Blanzy -Ouest",NULL,"91380","91161","Chilly-Mazarin","2.31070590005138","48.7063622054015"
"IDF9100592","Entrepreneurs, rue des ex Pont des Maures","LURASCHI","Menuiserie","91380","91161","Chilly-Mazarin","2.31792538878741","48.6940616964163"
"IDF9100593","Gay - Lussac, rue","SOCOTRAC","Entretien automobile","91380","91161","Chilly-Mazarin","2.30020073356308","48.7095516709249"
"IDF9100802","Bois de l'Epine, 3 rue du","CAREX, ex GARAGES MUTUALISTES FRANCAIS (GMF)","Garage","91080","91182","Courcouronnes","2.40600759035959","48.6290347521371"
"IDF9100702","Gournay, 52 rue de ( ex n°63 en 1977)","DIROMANO Lucien, ex BELGRAND FRERES et Cie, ex BELGRAND FRERES",NULL,"91100","91174","Corbeil-Essonnes","2.47855635582575","48.6040715643014"
"IDF9100703","Gournay, 104 à 110 rue de","SCCE (Sté DE COMBUSTIBLES DE CORBEIL ESSONNES), ex SEAC (Sté ESSONNAISE D'ETUDE ET D'APPLICATION DE LA CHALEUR)",NULL,"91100","91174","Corbeil-Essonnes","2.47246415588672","48.602707676771"
